UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
3396479,02/28/2016,18:15,,,40.8287289,-73.9522017,"(40.8287289, -73.9522017)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,UNKNOWN,,,
3397657,02/28/2016,18:55,QUEENS,11377.0,40.747623600000004,-73.896576,"(40.7476236, -73.896576)",69 STREET,37 ROAD,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3396521,02/28/2016,18:55,BRONX,10452.0,40.8396059,-73.9181388,"(40.8396059, -73.9181388)",ELLIOTT PLACE,JEROME AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,,,,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3396520,02/28/2016,18:15,BRONX,10456.0,40.8302605,-73.9148512,"(40.8302605, -73.9148512)",EAST 166 STREET,COLLEGE AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,SMALL COM VEH(4 TIRES),LIVERY VEHICLE,,,
3396568,02/28/2016,18:10,,,,,,UNIVERSITY AVENUE,ZEISER PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3396326,02/28/2016,18:05,,,40.7305151,-73.8716272,"(40.7305151, -73.8716272)",,,60-50 WOODHAVEN BOULEVARD GAS STATION,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,UNKNOWN,,,
3397186,02/28/2016,19:30,MANHATTAN,10034.0,40.8636899,-73.91706429999999,"(40.8636899, -73.9170643)",WEST 207 STREET,9 AVENUE,,0,0,0,0,0,0,0,0,Other Electronic Device,Other Electronic Device,,,,PASSENGER VEHICLE,MOTORCYCLE,,,
3396008,02/28/2016,19:25,BRONX,10462.0,40.846880600000006,-73.8689268,"(40.8468806, -73.8689268)",RHINELANDER AVENUE,UNIONPORT ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,TAXI,SPORT UTILITY / STATION WAGON,,,
3396604,02/28/2016,19:23,BROOKLYN,11204.0,40.613237899999994,-73.98205959999999,"(40.6132379, -73.9820596)",BAY PARKWAY,66 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3396991,02/28/2016,19:20,,,,,,MAPLE AVENUE,GROVE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,UNKNOWN,,,
3395941,02/28/2016,19:20,BRONX,10454.0,40.8088101,-73.91069190000002,"(40.8088101, -73.9106919)",SAINT MARYS STREET,JACKSON AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Other Vehicular,Unspecified,,,VAN,LIVERY VEHICLE,PASSENGER VEHICLE,,
3395905,02/28/2016,18:48,MANHATTAN,10037.0,40.8101754,-73.93740759999999,"(40.8101754, -73.9374076)",EAST 132 STREET,MADISON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,OTHER,,,
3396781,02/28/2016,19:10,,,,,,WOODHAVEN BOULEVARD,UNION TURNPIKE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
3396247,02/28/2016,19:05,QUEENS,11422.0,40.6754631,-73.7338404,"(40.6754631, -73.7338404)",133 AVENUE,LAURELTON PARKWAY,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3396536,02/28/2016,19:00,,,,,,,,N/B BRUCKNER BOULEVARD,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
3396602,02/28/2016,19:00,BROOKLYN,11214.0,40.6070026,-73.9885511,"(40.6070026, -73.9885511)",BAY PARKWAY,77 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3396375,02/28/2016,14:50,STATEN ISLAND,10306.0,40.5627213,-74.13975440000002,"(40.5627213, -74.1397544)",CORONA AVENUE,CROFT COURT,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
3395996,02/28/2016,19:00,BRONX,10467.0,40.87835020000001,-73.8703365,"(40.8783502, -73.8703365)",NEWELL STREET,EAST GUN HILL ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,PASSENGER VEHICLE,,,,
